Configuration,expected_output_class,actual_output_class,count
P1,FULL_ANSWER,REFUSE_INSUFFICIENT_EVIDENCE,0
P1,FULL_ANSWER,REFUSE_NO_MATCH,3
P1,FULL_ANSWER,REFUSE_PERMISSION,4
P1,AGGREGATE_RESULT,AGGREGATE_RESULT,15
P1,AGGREGATE_RESULT,CLARIFICATION,0
P1,AGGREGATE_RESULT,CONSTRAINED_ANSWER,0
P1,AGGREGATE_RESULT,FULL_ANSWER,0
P1,AGGREGATE_RESULT,REFUSE_AGGREGATION_THRESHOLD,0
P1,AGGREGATE_RESULT,REFUSE_INSUFFICIENT_EVIDENCE,0
P1,AGGREGATE_RESULT,REFUSE_NO_MATCH,0
P1,AGGREGATE_RESULT,REFUSE_PERMISSION,0
P1,CONSTRAINED_ANSWER,AGGREGATE_RESULT,0
P1,CONSTRAINED_ANSWER,CLARIFICATION,0
P1,CONSTRAINED_ANSWER,CONSTRAINED_ANSWER,0
P1,CONSTRAINED_ANSWER,FULL_ANSWER,9
P1,CONSTRAINED_ANSWER,REFUSE_AGGREGATION_THRESHOLD,0
P1,CONSTRAINED_ANSWER,REFUSE_INSUFFICIENT_EVIDENCE,0
P1,CONSTRAINED_ANSWER,REFUSE_NO_MATCH,0
P1,CONSTRAINED_ANSWER,REFUSE_PERMISSION,0
P1,REFUSE_INSUFFICIENT_EVIDENCE,AGGREGATE_RESULT,0
P1,REFUSE_INSUFFICIENT_EVIDENCE,CLARIFICATION,0
P1,REFUSE_INSUFFICIENT_EVIDENCE,CONSTRAINED_ANSWER,0
P1,REFUSE_INSUFFICIENT_EVIDENCE,FULL_ANSWER,6
P1,REFUSE_INSUFFICIENT_EVIDENCE,REFUSE_AGGREGATION_THRESHOLD,0
P1,REFUSE_INSUFFICIENT_EVIDENCE,REFUSE_INSUFFICIENT_EVIDENCE,0
P1,REFUSE_INSUFFICIENT_EVIDENCE,REFUSE_NO_MATCH,3
P1,REFUSE_INSUFFICIENT_EVIDENCE,REFUSE_PERMISSION,0
P1,REFUSE_AGGREGATION_THRESHOLD,AGGREGATE_RESULT,3
P1,REFUSE_AGGREGATION_THRESHOLD,CLARIFICATION,0
P1,REFUSE_AGGREGATION_THRESHOLD,CONSTRAINED_ANSWER,0
P1,REFUSE_AGGREGATION_THRESHOLD,FULL_ANSWER,0
P1,REFUSE_AGGREGATION_THRESHOLD,REFUSE_AGGREGATION_THRESHOLD,0
P1,REFUSE_AGGREGATION_THRESHOLD,REFUSE_INSUFFICIENT_EVIDENCE,0
P1,REFUSE_AGGREGATION_THRESHOLD,REFUSE_NO_MATCH,0
P1,REFUSE_AGGREGATION_THRESHOLD,REFUSE_PERMISSION,0
P1,CLARIFICATION,AGGREGATE_RESULT,0
P1,CLARIFICATION,CLARIFICATION,0
P1,CLARIFICATION,CONSTRAINED_ANSWER,0
P1,CLARIFICATION,FULL_ANSWER,3
P1,CLARIFICATION,REFUSE_AGGREGATION_THRESHOLD,0
P1,CLARIFICATION,REFUSE_INSUFFICIENT_EVIDENCE,0
P1,CLARIFICATION,REFUSE_NO_MATCH,0
P1,CLARIFICATION,REFUSE_PERMISSION,0
