case_id,scenario_id,question,expected_output_class,reference_answer,required_logical_sources,required_document_ids,required_pages_json,supporting_or_distractor_sources,persistent_permission,effective_use_decision,aggregate_k,expected_contributor_count,prohibited_disclosure_count,factual_atom_count,manual_validation_state,author_decision_id,decision_record_checks_passed,decision_reference_anchor_present,scenario_projection_contract_reference_consistent,source_pages_valid,runtime_reference_separated,status,mismatched_fields
S4B-Q3,S4_TESCO_BANK_02,"Across my February CedarCart Online orders, what was the overall net difference between the bank charges and the confirmed amounts, and how large were the discrepancies in total?",AGGREGATE_RESULT,"The overall net difference was +50 HUF, and the total discrepancy magnitude was 350 HUF.",s4b-cedarcart-order-03;s4b-cedarcart-order-04;s4b-bank-statement-feb,540b62d4-4203-5932-9b2e-f96172d1d46a;c28c9803-23e5-5b62-a505-d42ba3e5d610;8256b66b-139c-5d7a-9b26-3deb9df83ded,{},,Aggregate,Aggregate,2,2,11,2,HUMAN_VALIDATED,HR-S4-002,True,True,True,True,True,PASS,
S4B-Q4,S4_TESCO_BANK_02,Which of orders CCA-260320-R53 and CCA-260328-S14 appears on my March bank statement?,FULL_ANSWER,"Order CCA-260320-R53 appears as a 6,300 HUF CedarCart Online charge on 21 March 2026. No matching charge for CCA-260328-S14 appears in the complete booked transaction list through 31 March 2026.",s4b-cedarcart-order-07;s4b-cedarcart-order-08;s4b-bank-statement-mar,c9c41435-043f-5ddf-b2bb-fea81f32ca26;8ef08052-db38-5a25-b861-b67d26be5d4e;3c5c4ca1-d010-5ae2-93cc-300e1578deef,"{""s4b-bank-statement-mar"": [2], ""s4b-cedarcart-order-07"": [1], ""s4b-cedarcart-order-08"": [1]}",,Owner,Full,,,0,3,HUMAN_VALIDATED,HR-S4-003,True,True,True,True,True,PASS,
S4B-Q5,S4_TESCO_BANK_02,"How much did I spend on CedarCart Online in February 2026, excluding physical-store purchases?",FULL_ANSWER,"The two CedarCart Online charges were 7,090 HUF and 8,960 HUF, for a total of 16,050 HUF. The 3,740 HUF CedarCart Market 041 transaction was excluded because it was a physical-store purchase.",s4b-bank-statement-feb,8256b66b-139c-5d7a-9b26-3deb9df83ded,"{""s4b-bank-statement-feb"": [2]}",,Owner,Full,,,0,1,HUMAN_VALIDATED,HR-S4-004,True,True,True,True,True,PASS,
S4B-Q6,S4_TESCO_BANK_02,"How much did I spend on CedarCart Online in February 2026, excluding physical-store purchases?",REFUSE_AGGREGATION_THRESHOLD,The aggregate result cannot be released because the minimum contributor threshold is not met.,s4b-bank-statement-feb,8256b66b-139c-5d7a-9b26-3deb9df83ded,{},,Aggregate,Aggregate,3,2,7,0,HUMAN_VALIDATED,HR-S4-004,True,True,True,True,True,PASS,
S4B-Q7,S4_TESCO_BANK_02,"Which bank charge most likely matches order CCA-260311-Q27, and can I be certain?",CONSTRAINED_ANSWER,"The most likely match is the 9,110 HUF CedarCart Online charge posted on 12 March 2026. The date and amount support the match, but it cannot be confirmed with certainty because the bank entry does not contain the order number.",s4b-cedarcart-order-06;s4b-bank-statement-mar,3f3feac3-d827-5444-b9ca-5a26c389ac13;3c5c4ca1-d010-5ae2-93cc-300e1578deef,"{""s4b-bank-statement-mar"": [2], ""s4b-cedarcart-order-06"": [1]}",,Owner,Full,,,0,3,HUMAN_VALIDATED,HR-S4-005,True,True,True,True,True,PASS,
S4B-Q8,S4_TESCO_BANK_02,Why was the bank charge for order CCA-260203-M18 150 HUF lower than the confirmed amount?,REFUSE_INSUFFICIENT_EVIDENCE,The available documents do not establish why the bank charge was 150 HUF lower than the confirmed amount.,s4b-cedarcart-order-03;s4b-bank-statement-feb,540b62d4-4203-5932-9b2e-f96172d1d46a;8256b66b-139c-5d7a-9b26-3deb9df83ded,"{""s4b-bank-statement-feb"": [3], ""s4b-cedarcart-order-03"": [2]}",,Owner,Full,,,0,0,HUMAN_VALIDATED,HR-S4-006,True,True,True,True,True,PASS,
S5B-Q1,S5_TV_INSURANCE_02,"Which television do I own, when did I purchase it, and what price did I pay?",FULL_ANSWER,"You own an Aurelia Q62, purchased on 4 October 2025 for 279,900 HUF.",s5b-purchase-receipt,f3e281c1-90cd-5009-9f29-1004562a55ff,"{""s5b-purchase-receipt"": [1]}",,Owner,Full,,,0,3,HUMAN_VALIDATED,HR-S5-001,True,True,True,True,True,PASS,
S5B-Q2,S5_TV_INSURANCE_02,"My Aurelia Q62 shows H17 while an HDMI source is connected. What does H17 mean for this model, and what should I do first?",FULL_ANSWER,"For the Aurelia Q62, H17 means that HDMI handshake negotiation did not complete. Turn off the television and the HDMI source, unplug both for 60 seconds, reconnect the HDMI cable, then power on the source before the television.",s5b-aurelia-manual,b0d38870-b0ed-5990-8dff-e3a325b4a6f5,"{""s5b-aurelia-manual"": [11]}",s5b-nimbus-manual,Owner,Full,,,0,3,HUMAN_VALIDATED,HR-S5-002,True,True,True,True,True,PASS,
S5B-Q3,S5_TV_INSURANCE_02,Is the Aurelia Q62 still within its stated 24-month manufacturer warranty period on 15 December 2026?,FULL_ANSWER,"Yes. The television was purchased on 4 October 2025, and its stated 24-month manufacturer warranty period runs through 4 October 2027. Therefore, it was still within the stated period on 15 December 2026. This establishes only the time period, not whether a particular failure is covered.",s5b-purchase-receipt;s5b-aurelia-warranty,f3e281c1-90cd-5009-9f29-1004562a55ff;5372b25d-365b-5092-acbd-8c142b551653,"{""s5b-aurelia-warranty"": [2], ""s5b-purchase-receipt"": [1]}",,Owner,Full,,,0,3,HUMAN_VALIDATED,HR-S5-003,True,True,True,True,True,PASS,
S5B-Q4,S5_TV_INSURANCE_02,"A qualified technician says an external power surge probably damaged my Aurelia Q62 on 18 August 2026. Could my home insurance cover it, what is the deductible, and what evidence do I need?",CONSTRAINED_ANSWER,"The policy's electrical-damage option may apply because the event occurred during the policy period and a qualified technician identified an external power surge as the probable cause. The standard deductible is 30,000 HUF per accepted event. The claim requires proof of ownership and value, a qualified technical report, photographs and event timing, a repair-cost estimate, and any requested utility, weather, electrician, or surge-protection evidence. Coverage remains subject to claim assessment and is not guaranteed.",s5b-harbour-policy,77241aee-5271-5d8e-a7fe-c0ff6293f689,"{""s5b-harbour-policy"": [2, 6, 8, 9]}",,Owner,Full,,,0,3,HUMAN_VALIDATED,HR-S5-004,True,True,True,True,True,PASS,
S5B-Q5,S5_TV_INSURANCE_02,My TV is not working. Should I use the warranty or my home insurance?,CONSTRAINED_ANSWER,"Have the fault diagnosed first. The manufacturer warranty may apply if the cause is a defect in materials or workmanship, while home insurance may apply if qualified evidence establishes lightning or an external power surge. Until the probable technical cause is known, neither route is established.",s5b-aurelia-warranty;s5b-harbour-policy,5372b25d-365b-5092-acbd-8c142b551653;77241aee-5271-5d8e-a7fe-c0ff6293f689,"{""s5b-aurelia-warranty"": [2], ""s5b-harbour-policy"": [6]}",,Owner,Full,,,0,4,HUMAN_VALIDATED,HR-S5-005,True,True,True,True,True,PASS,
S5B-Q6,S5_TV_INSURANCE_02,"Does H17 mean a fan fault on my Aurelia Q62, and does it prove an external power surge?",FULL_ANSWER,"No. On the Aurelia Q62, H17 means that HDMI handshake negotiation did not complete, not a fan fault. The code also does not prove lightning or an external power surge; separate qualified cause evidence is required.",s5b-aurelia-manual;s5b-harbour-policy,b0d38870-b0ed-5990-8dff-e3a325b4a6f5;77241aee-5271-5d8e-a7fe-c0ff6293f689,"{""s5b-aurelia-manual"": [11], ""s5b-harbour-policy"": [6]}",s5b-nimbus-manual,Owner,Full,,,0,3,HUMAN_VALIDATED,HR-S5-006,True,True,True,True,True,PASS,
S6-Q1,S6_EV_SOLAR_01,What maximum AC charging power and connector does my Orion E4 support?,FULL_ANSWER,The Orion E4 supports AC charging at up to 11 kW through a Type 2 connector. Its rated AC input is three-phase 400 V at 16 A per phase.,s6-ev-specification,a2b01b06-5f4e-59c9-b222-2f7662a29781,"{""s6-ev-specification"": [6]}",s6-wrong-ev-specification,Owner,Full,,,0,4,HUMAN_VALIDATED,HR-S6-001,True,True,True,True,True,PASS,
S6-Q2,S6_EV_SOLAR_01,"Can my HelioSync I10 charge the Orion E4 through the GridNest W11, and what limits the charging power?",FULL_ANSWER,"Yes. The Orion E4 and GridNest W11 both support up to 11 kW three-phase AC charging, and the W11 is compatible with the HelioSync I10 control profile. The inverter can contribute up to 10 kW from solar, while the grid may supply the shortfall when grid import is enabled. The actual charging power is limited by the lowest active vehicle, wallbox, circuit, or load-management limit and cannot exceed 11 kW.",s6-ev-specification;s6-wallbox-datasheet;s6-inverter-datasheet,a2b01b06-5f4e-59c9-b222-2f7662a29781;409155b2-6ea3-5333-834f-f47ff17dba07;475d648b-a980-5d7d-982c-8013cec3f4c8,"{""s6-ev-specification"": [6], ""s6-inverter-datasheet"": [4], ""s6-wallbox-datasheet"": [6]}",s6-electrical-connection-description;s6-wrong-ev-specification;s6-alternative-wallbox-datasheet,Owner,Full,,,0,3,HUMAN_VALIDATED,HR-S6-002,True,True,True,True,True,PASS,
S6-Q3,S6_EV_SOLAR_01,Can I connect my Orion E4 directly to the solar panels?,FULL_ANSWER,"No. The installed system routes photovoltaic DC through the HelioSync inverter to the home's AC distribution board, and the GridNest wallbox then supplies controlled AC to the vehicle. There is no permitted direct panel-to-vehicle connection.",s6-electrical-connection-description;s6-ev-specification,238be3fe-ae80-5e10-81f2-a15e49d2fec8;a2b01b06-5f4e-59c9-b222-2f7662a29781,"{""s6-electrical-connection-description"": [2], ""s6-ev-specification"": [4]}",s6-inverter-datasheet;s6-wallbox-datasheet;s6-wrong-ev-specification;s6-alternative-wallbox-datasheet,Owner,Full,,,0,4,HUMAN_VALIDATED,HR-S6-003,True,True,True,True,True,PASS,
S6-Q4,S6_EV_SOLAR_01,How long will it take to charge my car to 100% right now?,CLARIFICATION,"What is the car's current state of charge, and what sustained charging power is currently available? Without these values, I cannot estimate the time to 100% reliably.",s6-ev-specification,a2b01b06-5f4e-59c9-b222-2f7662a29781,"{""s6-ev-specification"": [8]}",s6-wallbox-datasheet;s6-inverter-datasheet;s6-electrical-connection-description,Owner,Full,,,0,0,HUMAN_VALIDATED,HR-S6-004,True,True,True,True,True,PASS,
S6-Q5,S6_EV_SOLAR_01,"If my Orion E4 is at 20%, how long would the GridNest W11 take to charge it to 80% at full power?",FULL_ANSWER,"About 3 hours 53 minutes, assuming the GridNest W11 sustains its 11 kW maximum. The actual time may be longer because of temperature, battery balancing, or load management.",s6-ev-specification;s6-wallbox-datasheet,a2b01b06-5f4e-59c9-b222-2f7662a29781;409155b2-6ea3-5333-834f-f47ff17dba07,"{""s6-ev-specification"": [8], ""s6-wallbox-datasheet"": [3]}",s6-inverter-datasheet;s6-electrical-connection-description,Owner,Full,,,0,2,HUMAN_VALIDATED,HR-S6-005,True,True,True,True,True,PASS,
S6-Q6,S6_EV_SOLAR_01,Can my Orion E4 and GridNest W11 charge at 22 kW?,FULL_ANSWER,"No. The Orion E4 and GridNest W11 are each rated for a maximum of 11 kW AC, so the installed vehicle--wallbox pair cannot charge at 22 kW.",s6-ev-specification;s6-wallbox-datasheet,a2b01b06-5f4e-59c9-b222-2f7662a29781;409155b2-6ea3-5333-834f-f47ff17dba07,"{""s6-ev-specification"": [6], ""s6-wallbox-datasheet"": [3]}",s6-wrong-ev-specification;s6-alternative-wallbox-datasheet;s6-electrical-connection-description,Owner,Full,,,0,2,HUMAN_VALIDATED,HR-S6-006,True,True,True,True,True,PASS,
