path,category,stage,reason,status_scope
artifacts/s3_s6_freeze/git_finalization/FINAL_AUTHOR_REVIEWED_ARTIFACT_CHECKSUMS.json,D,YES,compact git-finalization audit evidence,tracked-or-untracked
artifacts/s3_s6_freeze/git_finalization/MARIADB_SELECTED_EVIDENCE_CHECKSUMS.json,D,YES,compact git-finalization audit evidence,tracked-or-untracked
artifacts/s3_s6_freeze/git_finalization/STAGED_CONTENT_AUDIT.json,D,YES,compact git-finalization audit evidence,tracked-or-untracked
artifacts/s3_s6_freeze/git_finalization/STAGED_CONTENT_AUDIT.csv,D,YES,compact git-finalization audit evidence,tracked-or-untracked
.t_quality/,E,NO,pytest temp,excluded-generated-or-redundant
t_focus/,E,NO,pytest temp,excluded-generated-or-redundant
t_full/,E,NO,pytest temp,excluded-generated-or-redundant
tc_focus/,E,NO,current pytest temp,excluded-generated-or-redundant
tc_full/,E,NO,current pytest temp,excluded-generated-or-redundant
tc_quality/,E,NO,current quality temp,excluded-generated-or-redundant
UsersEKKE.codexvisualizations2026082501a0390f-2f5b-70c1-b982-b1f096c80beepytest_quality_tmp/,E,NO,malformed temp,excluded-generated-or-redundant
backend_python/artifacts/,E,NO,runtime output,excluded-generated-or-redundant
artifacts/local_quality_gate/,E,NO,runtime output summarized in audit,excluded-generated-or-redundant
artifacts/s3_s6_freeze/S3_S6_JOURNAL_EVALUATION_V1/,F,NO,redundant extracted zip copy,excluded-generated-or-redundant
artifacts/s3_s6_freeze/build_freeze_package.py,F,NO,one-off helper,excluded-generated-or-redundant
artifacts/s3_s6_freeze/final_validation/,E,NO,verbose logs,excluded-generated-or-redundant
artifacts/s3_s6_candidate_integration/actual_pipeline_inputs/,F,NO,redundant unzipped input mirror,excluded-generated-or-redundant
artifacts/s3_s6_candidate_integration/S1_S2_PROTECTION_CHECK_AFTER_AGGREGATE_FIX.json,F,NO,S1-S2 diagnostic not staged,excluded-generated-or-redundant
artifacts/s3_s6_candidate_integration/human_confirmation/SHA256SUMS.txt,F,NO,source-packet checksum list verified in audit JSON,excluded-generated-or-redundant
artifacts/s3_s6_candidate_integration/mariadb_compatibility_smoke/MARIADB_COMPATIBILITY_MANIFEST.json,F,NO,verified diagnostic manifest with machine-local detail,excluded-generated-or-redundant
artifacts/s3_s6_candidate_integration/mariadb_compatibility_smoke/S1_S2_PRESERVATION_MARIADB_CHECK.json,F,NO,S1-S2 diagnostic not staged,excluded-generated-or-redundant
artifacts/s3_s6_candidate_integration/mariadb_compatibility_smoke/SHA256SUMS.txt,F,NO,directory checksum list verified in selected-evidence audit,excluded-generated-or-redundant
artifacts/s3_s6_candidate_integration/mariadb_compatibility_smoke/*.log,E,NO,verbose logs,excluded-generated-or-redundant
artifacts/s3_s6_candidate_integration/mariadb_compatibility_smoke/focused/,E,NO,runtime output,excluded-generated-or-redundant
artifacts/s3_s6_candidate_integration/mariadb_compatibility_smoke/full/,E,NO,runtime output,excluded-generated-or-redundant
